Feature,Importance
Redtopgolddiffat15,0.04836766831857397
Redbotgolddiffat15,0.03942472400173309
Bluebotgolddiffat15,0.035266646241841705
Bluetopgolddiffat15,0.032743582651095685
Bluemidwr,0.03180793446596597
Bluemidgolddiffat15,0.029777589036544816
Bluesupgolddiffat15,0.0267684015419442
Redsupgolddiffat15,0.02535587807469957
Redsupwr,0.02512645566252999
Redmidgolddiffat15,0.024384789187501872
Bluemidkda15,0.02388885707251863
Bluebotgolddiffat10,0.022414730038220768
Redjngwr,0.020911524283043412
Redtopgolddiffat10,0.020709055020661258
Redbotwr,0.020462264965358495
Redbotgolddiffat10,0.019810126300336343
Bluetopgolddiffat10,0.0197858804574002
Bluejnggolddiffat15,0.018854697210743065
Bluejngwr,0.018343200534356112
Bluebotwr,0.01806794699495118
Redjnggolddiffat15,0.017946912622975087
Bluemidgolddiffat10,0.017930877483260572
Bluejngkda15,0.017845347346593144
Redjngkda15,0.01742267680939779
Redsupgolddiffat10,0.016697636695498685
Bluesupgolddiffat10,0.016521968258028562
Redjnggolddiffat10,0.016353304719562162
Redbotkda15,0.015773949224541246
Redmidgolddiffat10,0.015215563752702992
Bluejnggolddiffat10,0.015145467412827759
Bluesupwr,0.015000613912726512
Redtopwr,0.014886998337701426
Redtopkda15,0.014598363653784585
Bluebotkda15,0.014519715959107634
Bluetopkda15,0.014399528003241924
Redsupkda15,0.014190032985128161
Redmidwr,0.013941205359534099
Bluetopwr,0.013642210092118731
Redmidkda15,0.012199259872012544
Bluesupkda15,0.012173333888827543
Redbotkda10,0.009787796988875892
Redbotgp,0.009731119046513467
Bluebotkda10,0.009548325858147716
Redjnggp,0.009402569522888522
Bluetopgp,0.00919626020421504
Redmidgp,0.009063413441045933
Redjngkda10,0.00901835686636353
Bluesupgp,0.00886287040598694
Bluetopkda10,0.008690941762982319
Bluebotgp,0.008628968713175799
Bluejnggp,0.008444116521118072
Redmidkda10,0.008410119461553614
Bluemidkda10,0.008287992326619333
Redtopgp,0.00826208876905504
Redsupgp,0.008238478998669752
Bluemidgp,0.008011442867974417
Redtopkda10,0.008002042879415082
Bluejngkda10,0.007940014071048222
Bluesupkda10,0.00700292219194685
Redsupkda10,0.006793240652813081
